index,metric_name,metric_type,group_id,group_name
0,numStats,12,0,stats
1,fiber.bytes,12,1,libruntime
2,fibers.inUse,12,1,libruntime
3,fibers.inCache,12,1,libruntime
4,fibers.deleted,12,1,libruntime
5,fiber.allocFails,12,1,libruntime
6,fiberCache.hits,12,1,libruntime
7,fiberCache.misses,12,1,libruntime
8,schedObj.makeRunnableFails,12,1,libruntime
9,threads.joinable,12,1,libruntime
10,handles.active,12,2,callout
11,handles.maxActiveReached,12,2,callout
12,deferred,12,2,callout
13,cancelWaitTime.average.numeratorMs,12,2,callout
14,cancelWaitTime.average.denominatorMs,12,2,callout
15,elemSizeBytes,12,3,callout.dispatch.bc
16,fastAllocs,12,3,callout.dispatch.bc
17,fastFrees,12,3,callout.dispatch.bc
18,slowAllocs,12,3,callout.dispatch.bc
19,slowFrees,12,3,callout.dispatch.bc
20,totMemBytes,12,3,callout.dispatch.bc
21,mlockChunk,12,3,callout.dispatch.bc
22,mlockChunkFailure,12,3,callout.dispatch.bc
23,elemSizeBytes,12,4,archiveManifest.bc
24,fastAllocs,12,4,archiveManifest.bc
25,fastFrees,12,4,archiveManifest.bc
26,slowAllocs,12,4,archiveManifest.bc
27,slowFrees,12,4,archiveManifest.bc
28,totMemBytes,12,4,archiveManifest.bc
29,mlockChunk,12,4,archiveManifest.bc
30,mlockChunkFailure,12,4,archiveManifest.bc
31,elemSizeBytes,12,5,archiveFile.bc
32,fastAllocs,12,5,archiveFile.bc
33,fastFrees,12,5,archiveFile.bc
34,slowAllocs,12,5,archiveFile.bc
35,slowFrees,12,5,archiveFile.bc
36,totMemBytes,12,5,archiveFile.bc
37,mlockChunk,12,5,archiveFile.bc
38,mlockChunkFailure,12,5,archiveFile.bc
39,objects.published,12,6,namespace
40,objects.removed,12,6,namespace
41,objects.updated,12,6,namespace
42,objects.lookedup,12,6,namespace
43,objects.opened,12,6,namespace
44,objects.closed,12,6,namespace
45,stream.count,12,6,namespace
46,stream.bytes,12,6,namespace
47,stream.blob.count,12,6,namespace
48,stream.blob.bytes,12,6,namespace
49,loadDs,10,7,libusrnode
50,elemSizeBytes,12,8,uk.msg.immed.recv.bc
51,fastAllocs,12,8,uk.msg.immed.recv.bc
52,fastFrees,12,8,uk.msg.immed.recv.bc
53,slowAllocs,12,8,uk.msg.immed.recv.bc
54,slowFrees,12,8,uk.msg.immed.recv.bc
55,totMemBytes,12,8,uk.msg.immed.recv.bc
56,mlockChunk,12,8,uk.msg.immed.recv.bc
57,mlockChunkFailure,12,8,uk.msg.immed.recv.bc
58,elemSizeBytes,12,9,uk.msg.normal.bc
59,fastAllocs,12,9,uk.msg.normal.bc
60,fastFrees,12,9,uk.msg.normal.bc
61,slowAllocs,12,9,uk.msg.normal.bc
62,slowFrees,12,9,uk.msg.normal.bc
63,totMemBytes,12,9,uk.msg.normal.bc
64,mlockChunk,12,9,uk.msg.normal.bc
65,mlockChunkFailure,12,9,uk.msg.normal.bc
66,elemSizeBytes,12,10,uk.msg.alt.bc
67,fastAllocs,12,10,uk.msg.alt.bc
68,fastFrees,12,10,uk.msg.alt.bc
69,slowAllocs,12,10,uk.msg.alt.bc
70,slowFrees,12,10,uk.msg.alt.bc
71,totMemBytes,12,10,uk.msg.alt.bc
72,mlockChunk,12,10,uk.msg.alt.bc
73,mlockChunkFailure,12,10,uk.msg.alt.bc
74,elemSizeBytes,12,11,uk.msg.atomic64.bc
75,fastAllocs,12,11,uk.msg.atomic64.bc
76,fastFrees,12,11,uk.msg.atomic64.bc
77,slowAllocs,12,11,uk.msg.atomic64.bc
78,slowFrees,12,11,uk.msg.atomic64.bc
79,totMemBytes,12,11,uk.msg.atomic64.bc
80,mlockChunk,12,11,uk.msg.atomic64.bc
81,mlockChunkFailure,12,11,uk.msg.atomic64.bc
82,statCumlRecdMessages,12,12,uk.msg
83,statCumlRecdMessagesErr,12,12,uk.msg
84,statCumlRecdImmedMessagesNoThread,12,12,uk.msg
85,outOfMessages,12,12,uk.msg
86,outOfPayload,12,12,uk.msg
87,bigMessages,12,12,uk.msg
88,messages.sent.succeeded,12,12,uk.msg
89,messages.sent.failed,12,12,uk.msg
90,outOfTwoPcCmdsStat,12,12,uk.msg
91,outOfTwoPcCmdsCumWaitUsec,12,12,uk.msg
92,acksScheduled,12,12,uk.msg
93,acksDoneInline,12,12,uk.msg
94,outOfFiberSched,12,12,uk.msg
95,outOfFiberSchedFsmTransportPage,12,12,uk.msg
96,outOfFiberSchedMessageObject,12,12,uk.msg
97,resourceLevelLow,12,12,uk.msg
98,elemSizeBytes,12,13,uk.msg.twoPcPages.bc
99,fastAllocs,12,13,uk.msg.twoPcPages.bc
100,fastFrees,12,13,uk.msg.twoPcPages.bc
101,slowAllocs,12,13,uk.msg.twoPcPages.bc
102,slowFrees,12,13,uk.msg.twoPcPages.bc
103,totMemBytes,12,13,uk.msg.twoPcPages.bc
104,mlockChunk,12,13,uk.msg.twoPcPages.bc
105,mlockChunkFailure,12,13,uk.msg.twoPcPages.bc
106,elemSizeBytes,12,14,uk.sched.object.bc
107,fastAllocs,12,14,uk.sched.object.bc
