index,param_name,visible,changeable,restart_required,default_value
0,BufferCachePercentOfTotalMem,False,True,True,70
1,SwapUsagePercent,False,True,True,90
2,XdbPageMlockChunkPct,False,True,True,1
3,MaxInteractiveDataSize,True,True,True,10737418240
4,UdfExportBufferSize,False,True,False,16777216
5,DfMaxFieldsPerRecord,False,True,True,4096
6,TotalSystemMemory,False,False,True,0
7,EnforceVALimit,False,False,True,true
8,Minidump,False,True,True,true
9,ResultSetTimeoutinSecs,False,True,False,1800
10,XcalarRootCompletePath,True,False,True,/var/opt/xcalar
11,TestMode,True,False,True,false
12,XemStatsShipmentEnabled,False,True,False,false
13,XemClusterBootMode,False,True,True,XCE
14,EnableXemDualBootMode,False,False,True,false
15,XemClusterName,False,True,False,XDP-cluster
16,XemHostAddress,False,True,False,InvalidXemAddress
17,XemHostPortNumber,False,True,False,65536
18,XemPortNumberToBind,True,False,True,15000
19,XemStatsPushHeartBeat,False,True,False,60000
20,XemDataSourceHostAddress,False,False,True,InvalidXemAddress
21,XemDataSourceHostPortNumber,True,False,True,65536
22,XemIsMultipleNodesPerHost,False,False,False,false
23,XemGroupNamesToPushToDatasource,False,True,True,XcalarSystemPerformanceStats*|XdbMgr|uk.msgNumCompletionsCount
24,ChildNodeCore,False,False,True,true
25,MaximumOutstandingImmediates,False,True,True,64
26,MaximumOutstandingApisWork,False,True,True,128
27,XPUTimeoutUSecs,False,True,True,300000000
28,XdbRehashPageCacheSize,False,True,False,1021
29,DurableEnforceClean,False,False,True,false
30,DurableEnforceKnown,False,False,True,true
31,XdbRehashPageCacheSlots,False,True,False,1024
32,XdbHashSlots,False,True,True,1021
33,XdbPageSize,False,True,True,131072
34,NetworkCompression,False,True,False,true
35,BufferCacheLazyMemLocking,False,False,True,true
36,XdbHdfsSerDesHost,False,True,False,XdbHdfsSerDesHost_NOT_SET
37,XdbHdfsSerDesUsername,False,True,False,XdbHdfsSerDesUsername_NOT_SET
38,XdbHdfsSerDesPort,False,True,False,50070
39,XdbHdfsSerDesPath,False,True,False,/Xcalar/Xdb
40,XdbSerDesMode,True,True,False,2
41,DurableUpdateOnLoad,False,False,True,false
42,XcalarLogCompletePath,True,True,True,/var/log/xcalar
43,XdbLocalSerDesPath,True,True,True,
44,XdbSerDesAppIOTimeoutInSec,False,True,True,900
45,SendSupportBundle,True,True,False,false
46,XcMonElectionTimeout,False,True,True,900
47,XcMonMasterSlaveTimeout,False,True,True,3600
48,XcMonSlaveMasterTimeout,False,True,True,1800
49,XcMonUsrNodeReapTimeout,False,True,True,120
50,EnableLicenseEnforcement,False,False,True,true
51,XdbSerDesEnableCompression,False,True,False,true
52,ClusterLogLevel,False,True,False,Inval
53,XpuResourceLimitAddressSpace,False,True,True,68719476736
54,NoChildLDPreload,False,False,True,false
55,NoChildLDPreload,False,False,True,false
56,NoChildLDPreload,False,False,True,false
57,IpVersionOptions,False,True,True,1
58,DatasetPercentOfXdb,False,True,True,70
59,ThrStackSize,False,True,True,4194304
60,LatencyRtThreadCount,False,True,False,8
61,ThroughputRtThreadCount,False,True,False,8
62,XpuRtThreadCount,False,True,True,2
63,AcceptExpiredLicense,False,False,True,false
64,EnablePredumpHandler,False,True,True,false
