         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   88.347   88.347   88.347   88.347 {method 'to_pydict' of 'pyarrow.lib.Table' objects}
        1   39.562   39.562  137.341  137.341 load_parquet_file_v3.py:1(<module>)
        1    8.670    8.670    8.670    8.670 {method 'read_all' of 'pyarrow._parquet.ParquetReader' objects}
      857    0.069    0.000    0.069    0.000 {built-in method marshal.loads}
    61/58    0.055    0.001    0.070    0.001 {built-in method _imp.create_dynamic}
   1063/1    0.040    0.000  137.341  137.341 {built-in method builtins.exec}
2194/2164    0.031    0.000    0.090    0.000 {built-in method builtins.__build_class__}
      456    0.030    0.000    0.114    0.000 traceback.py:313(extract)
    11955    0.024    0.000    0.024    0.000 {built-in method posix.stat}
      683    0.017    0.000    0.019    0.000 op_def_library.py:213(__init__)
     2346    0.014    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
    22108    0.010    0.000    0.046    0.000 traceback.py:279(line)
  727/187    0.008    0.000    0.025    0.000 sre_parse.py:470(_parse)
    22060    0.008    0.000    0.034    0.000 linecache.py:15(getline)
      857    0.008    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1272    0.007    0.000    0.007    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    22060    0.007    0.000    0.012    0.000 linecache.py:147(lazycache)
    50964    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    13851    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    20293    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
      638    0.006    0.000    0.006    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
    22060    0.006    0.000    0.025    0.000 linecache.py:37(getlines)
16684/16675    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
       71    0.006    0.000    0.007    0.000 {method 'readlines' of '_io._IOBase' objects}
    13851    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1085    0.006    0.000    0.059    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      509    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
 1334/172    0.005    0.000    0.024    0.000 sre_compile.py:64(_compile)
    15010    0.005    0.000    0.018    0.000 linecache.py:82(updatecache)
      857    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      857    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
36558/36556    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
        1    0.005    0.005    0.005    0.005 {method 'open' of 'pyarrow._parquet.ParquetReader' objects}
     1485    0.005    0.000    0.012    0.000 version.py:198(__init__)
